Study,Vaccine,Vaccine_Type,Pathogen,Vector_Adjuvant,Dose,Route
SDY61,TIV (2007),Inactivated,Influenza,None,,IM
SDY63,TIV (2010),Inactivated,Influenza,None,,IM
SDY67,TIV (2010),Inactivated,Influenza,None,,IM
SDY80,TIV (2009) + pH1N1,Inactivated,Influenza,None,,IM
SDY224,TIV (2010),Inactivated,Influenza,None,,IM
SDY180,TIV (2009),Inactivated,Influenza,None,,IM
SDY180,Pneumovax23,Polysaccharide,Pneumococcus,None,,IM
SDY180,Saline,,,None,,IM
SDY404,TIV (2011),Inactivated,Influenza,None,,IM
SDY400,TIV (2012),Inactivated,Influenza,None,,IM
SDY212,TIV (2008),Inactivated,Influenza,None,,IM
SDY56,TIV (2010),Inactivated,Influenza,None,,IM
SDY984,Zostavax,Live attenuated,Varicella Zoster,VZV,,IM
SDY1289,YF17D,Live attenuated,Yellow Fever,YF17D,,IM
SDY1276,TIV (2008),Inactivated,Influenza,None,,IM
SDY1260,MCV4,Conjugate,Meningococcus,None,,IM
SDY1260,MPSV4,Polysaccharide,Meningococcus,None,,IM
SDY1264,YF17D,Live attenuated,Yellow Fever,YF17D,,IM
SDY1293,"RTS,S/AS01 or RTS,S/AS02",Recombinant protein,Malaria,AS01/AS02,,IM
SDY270,TIV (2009),Inactivated,Influenza,None,,IM
SDY1291,Ad5/HIV,Recombinant viral vector,HIV,AdV,,IM
SDY1325,MenACWY-CRM,Conjugate,Meningococcus,None,Normal,IM
SDY1325,MenACWY-CRM,Conjugate,Meningococcus,None,1/5,IM
SDY1325,MenACWY-PS,Polysaccharide,Meningococcus,None,Normal,IM
SDY1325,MenACWY-PS,Polysaccharide,Meningococcus,None,Normal,subcutaneous
SDY1364,MVA85A,Recombinant viral vector,Tuberculosis,Vaccinia,1x10^8 pfu,IM
SDY1368,Zostavax,Live attenuated,Varicella Zoster,None,,IM
SDY1370,DryVax,Live attenuated,Smallpox (Vaccinia),Vaccinia,,IM
SDY1370,LC16m8,Live attenuated,Smallpox (Vaccinia),Vaccinia,,IM
SDY1373,rVSV-ZEBOV,Recombinant viral vector,Ebola,VSV,3x10^6 pfu,IM
SDY1373,rVSV-ZEBOV,Recombinant viral vector,Ebola,VSV,20x10^6 pfu,IM
SDY269,TIV (2008),Inactivated,Influenza,None,,IM
SDY269,LAIV (2008),Live attenuated,Influenza,LAIV,,IM
SDY299,HEPISLAV,Recombinant protein,Hepatitis B,CpG,,IM
